user_id;language;gender;age;study;country;species;beau;impr;enda;cute;dang;rare
52;F;F;2;2;FR;Cheetah;0;0;0;1;0;1
52;F;F;2;2;FR;Elephant;0;1;1;1;0;0
52;F;F;2;2;FR;Giraffe;0;1;0;1;0;0
52;F;F;2;2;FR;Koala;0;0;0;1;0;0
52;F;F;2;2;FR;Zebra;1;0;1;1;0;0
52;F;F;2;2;FR;Panda Bear;0;0;1;1;0;0
52;F;F;2;2;FR;Polar Bear;1;1;1;1;1;1
53;F;F;2;1;FR;Tiger;0;0;1;0;0;0
53;F;F;2;1;FR;Lion;0;0;0;1;0;0
53;F;F;2;1;FR;Wolf;0;0;0;0;1;0
53;F;F;2;1;FR;Leopard;0;1;0;0;0;0
54;F;F;2;2;FR;Wolf;1;0;1;0;0;1
54;F;F;2;2;FR;Lion;1;1;1;0;1;0
54;F;F;2;2;FR;Elephant;1;1;1;0;0;0
55;F;F;2;4;FR;Tiger;1;1;1;0;0;1
55;F;F;2;4;FR;Giraffe;1;1;0;0;0;1
55;F;F;2;4;FR;Gorilla;0;1;1;0;0;1
55;F;F;2;4;FR;Polar Bear;1;1;1;1;1;1
56;F;F;3;1;FR;Wolf;1;1;1;0;0;1
56;F;F;3;1;FR;Panda Bear;0;0;1;1;0;1
56;F;F;3;1;FR;Giraffe;1;0;1;0;0;1
56;F;F;3;1;FR;Leopard;1;1;1;0;0;1
57;F;F;2;3;FR;Wolf;1;1;0;0;0;0
57;F;F;2;3;FR;Tiger;1;1;1;0;1;0
57;F;F;2;3;FR;Panda Bear;1;0;1;0;0;0
57;F;F;2;3;FR;Hippo;0;0;1;0;0;1
57;F;F;2;3;FR;Dolphin;0;0;1;1;0;0
58;F;F;3;3;FR;Lion;0;1;0;0;0;0
58;F;F;3;3;FR;Tiger;1;1;1;0;0;1
58;F;F;3;3;FR;Elephant;0;1;1;0;0;0
58;F;F;3;3;FR;Koala;0;0;1;1;0;0
58;F;F;3;3;FR;Polar Bear;1;1;1;0;0;1
59;F;F;2;4;FR;Tiger;1;1;1;0;1;1
59;F;F;2;4;FR;Great White Shark;0;1;0;0;1;0
59;F;F;2;4;FR;Brown Bear;1;1;1;0;1;1
59;F;F;2;4;FR;Dolphin;1;1;0;1;0;0
59;F;F;2;4;FR;Hippo;0;1;1;1;0;1
59;F;F;2;4;FR;Lion;1;1;0;0;1;0
59;F;F;2;4;FR;Tiger;1;1;1;0;1;1
60;F;F;3;4;FR;Wolf;0;0;0;0;0;0
60;F;F;3;4;FR;Great White Shark;1;1;1;0;1;1
60;F;F;3;4;FR;Tiger;1;1;1;0;0;1
60;F;F;3;4;FR;Zebra;1;0;0;1;0;1
60;F;F;3;4;FR;Brown Bear;0;1;1;0;1;0
61;F;F;2;3;FR;Dolphin;1;0;0;0;0;0
61;F;F;2;3;FR;Tiger;0;1;0;0;1;1
61;F;F;2;3;FR;Wolf;1;0;1;0;0;1
61;F;F;2;3;FR;Polar Bear;0;1;1;0;1;1
61;F;F;2;3;FR;Giraffe;1;1;0;0;0;0
62;F;F;2;4;FR;Zebra;0;0;0;1;0;0
62;F;F;2;4;FR;Dolphin;0;0;1;1;0;0
62;F;F;2;4;FR;Elephant;0;1;0;0;0;0
63;F;F;3;3;FR;Panda Bear;0;0;1;0;0;1
63;F;F;3;3;FR;Polar Bear;0;0;1;0;0;1
63;F;F;3;3;FR;Lion;0;0;0;0;1;0
63;F;F;3;3;FR;Leopard;0;0;0;0;1;0
63;F;F;3;3;FR;Dolphin;1;0;0;0;0;0
64;F;F;2;2;FR;Panda Bear;1;0;1;0;0;0
64;F;F;2;2;FR;Wolf;1;0;1;0;0;0
64;F;F;2;2;FR;Leopard;0;0;1;0;1;0
64;F;F;2;2;FR;Elephant;0;1;1;0;0;0
64;F;F;2;2;FR;Lion;0;0;0;0;1;0
64;F;F;2;2;FR;Leopard;1;0;0;0;1;0
65;F;F;2;2;FR;Wolf;1;0;1;0;0;0
65;F;F;2;2;FR;Panda Bear;0;0;0;1;0;0
65;F;F;2;2;FR;Dolphin;1;0;0;0;0;1
65;F;F;2;2;FR;Tiger;0;1;0;0;1;0
66;F;F;3;3;FR;Dolphin;0;0;1;0;0;1
66;F;F;3;3;FR;Lion;0;1;0;0;0;0
66;F;F;3;3;FR;Cheetah;0;1;0;0;0;0
66;F;F;3;3;FR;Elephant;1;1;0;0;0;0
66;F;F;3;3;FR;Zebra;0;1;0;0;0;0
67;F;F;3;3;FR;Lion;0;1;0;0;1;0
67;F;F;3;3;FR;Leopard;0;1;0;0;1;0
67;F;F;3;3;FR;Tiger;0;0;1;1;0;0
67;F;F;3;3;FR;Panda Bear;0;0;0;1;0;1
67;F;F;3;3;FR;Elephant;1;1;0;0;0;0
67;F;F;3;3;FR;Dolphin;1;0;0;1;0;0
67;F;F;3;3;FR;Gorilla;1;0;1;0;0;0
68;F;F;2;2;FR;Wolf;1;1;0;0;0;0
68;F;F;2;2;FR;Giraffe;0;1;0;0;0;0
68;F;F;2;2;FR;Elephant;0;0;0;0;0;0
68;F;F;2;2;FR;Zebra;0;0;0;0;0;0
69;F;M;2;3;FR;Tiger;1;0;0;0;0;0
69;F;M;2;3;FR;Hippo;0;1;0;0;0;0
69;F;M;2;3;FR;Wolf;1;0;0;0;0;0
69;F;M;2;3;FR;Panda Bear;1;0;0;0;0;0
70;F;F;2;4;FR;Lion;1;0;0;0;0;0
70;F;F;2;4;FR;Tiger;1;0;1;0;0;1
70;F;F;2;4;FR;Wolf;1;0;1;0;0;0
70;F;F;2;4;FR;Panda Bear;0;0;1;1;0;1
70;F;F;2;4;FR;Gorilla;0;1;1;0;0;1
70;F;F;2;4;FR;Rhino;0;1;1;0;0;1
71;F;F;3;5;FR;Elephant;0;1;1;0;0;1
71;F;F;3;5;FR;Lion;1;1;0;0;1;1
71;F;F;3;5;FR;Tiger;1;1;0;0;1;1
71;F;F;3;5;FR;Leopard;1;0;0;0;0;1
71;F;F;3;5;FR;Wolf;0;1;0;0;0;1
72;F;F;2;3;FR;Leopard;1;1;0;1;0;1
72;F;F;2;3;FR;Cheetah;0;0;0;1;0;0
72;F;F;2;3;FR;Crocodile;0;0;0;0;1;0
72;F;F;2;3;FR;Elephant;0;1;0;0;0;0
72;F;F;2;3;FR;Tiger;0;1;0;1;1;0
72;F;F;2;3;FR;Wolf;0;1;0;0;0;1
72;F;F;2;3;FR;Dolphin;1;0;0;1;0;0
73;F;F;2;2;FR;Giraffe;1;1;1;1;0;1
73;F;F;2;2;FR;Dolphin;1;1;1;1;0;1
73;F;F;2;2;FR;Lion;0;1;0;0;1;1
74;F;M;2;5;FR;Panda Bear;1;1;1;1;0;1
74;F;M;2;5;FR;Tiger;1;1;1;0;1;1
74;F;M;2;5;FR;Giraffe;1;0;0;0;0;0
74;F;M;2;5;FR;Gorilla;1;1;1;0;0;1
74;F;M;2;5;FR;Rhino;0;1;1;0;0;1
74;F;M;2;5;FR;Lion;1;1;1;0;1;1
75;F;F;2;4;FR;Tiger;1;1;1;0;1;1
75;F;F;2;4;FR;Dolphin;1;0;0;0;0;0
75;F;F;2;4;FR;Lion;0;1;0;0;1;1
75;F;F;2;4;FR;Wolf;1;1;1;0;0;1
75;F;F;2;4;FR;Leopard;0;1;0;0;1;0
75;F;F;2;4;FR;Panda Bear;0;0;1;1;0;1
75;F;F;2;4;FR;Koala;0;0;1;1;0;1
76;F;F;2;2;FR;Panda Bear;0;0;1;1;0;0
76;F;F;2;2;FR;Panda Bear;0;0;1;1;0;0
76;F;F;2;2;FR;Dolphin;1;0;0;0;0;0
76;F;F;2;2;FR;Koala;0;0;0;1;0;0
76;F;F;2;2;FR;Tiger;1;0;1;0;1;0
76;F;F;2;2;FR;Polar Bear;0;1;1;1;0;0
76;F;F;2;2;FR;Wolf;1;1;1;0;1;0
77;F;F;2;2;FR;Panda Bear;1;0;1;1;0;1
77;F;F;2;2;FR;Tiger;1;0;1;0;1;0
77;F;F;2;2;FR;Wolf;1;0;0;0;0;0
77;F;F;2;2;FR;Lion;1;1;0;0;1;0
77;F;F;2;2;FR;Polar Bear;1;1;1;0;1;0
77;F;F;2;2;FR;Elephant;0;1;0;1;0;0
77;F;F;2;2;FR;Chimpanzee;0;1;0;1;0;0
77;F;F;2;2;FR;Leopard;1;1;0;0;1;0
77;F;F;2;2;FR;Giraffe;0;1;0;1;0;0
77;F;F;2;2;FR;Rhino;0;1;0;1;0;0
78;F;F;2;3;BE;Tiger;1;1;1;0;0;1
78;F;F;2;3;BE;Panda Bear;0;0;1;1;0;1
78;F;F;2;3;BE;Elephant;1;1;1;0;0;0
79;F;F;2;1;FR;Zebra;1;0;1;1;0;1
79;F;F;2;1;FR;Lion;1;1;0;0;1;0
79;F;F;2;1;FR;Elephant;0;1;1;0;0;0
80;F;F;3;1;FR;Tiger;1;1;1;0;1;1
80;F;F;3;1;FR;Elephant;1;1;1;0;1;1
80;F;F;3;1;FR;Wolf;1;0;1;0;1;1
80;F;F;3;1;FR;Crocodile;1;1;0;0;1;0
80;F;F;3;1;FR;Gorilla;1;1;1;0;1;1
80;F;F;3;1;FR;Giraffe;1;1;1;1;0;0
80;F;F;3;1;FR;Rhino;1;1;1;0;1;1
81;F;F;2;2;FR;Tiger;0;1;0;0;1;0
81;F;F;2;2;FR;Lion;0;1;0;0;1;0
81;F;F;2;2;FR;Cheetah;0;1;0;0;1;0
81;F;F;2;2;FR;Elephant;1;1;1;0;0;0
81;F;F;2;2;FR;Giraffe;0;0;0;1;0;0
81;F;F;2;2;FR;Rhino;0;1;1;0;0;0
82;F;F;1;1;FR;Rhino;0;1;0;0;1;0
82;F;F;1;1;FR;Wolf;1;0;1;1;0;0
82;F;F;1;1;FR;Lion;1;1;1;1;1;0
82;F;F;1;1;FR;Tiger;1;1;1;1;1;0
82;F;F;1;1;FR;Giraffe;1;1;0;1;0;0
82;F;F;1;1;FR;Elephant;1;1;1;1;0;0
83;F;F;2;4;FR;Elephant;1;1;1;0;1;0
83;F;F;2;4;FR;Panda Bear;0;0;1;0;0;0
83;F;F;2;4;FR;Zebra;1;0;0;0;0;0
83;F;F;2;4;FR;Giraffe;1;1;0;0;0;0
83;F;F;2;4;FR;Lion;1;0;0;0;1;0
85;F;F;3;5;FR;Dolphin;1;1;1;0;0;0
85;F;F;3;5;FR;Gorilla;1;1;1;0;0;1
85;F;F;3;5;FR;Chimpanzee;1;1;0;0;0;0
85;F;F;3;5;FR;Tiger;1;1;1;0;0;1
85;F;F;3;5;FR;Rhino;1;0;1;0;0;1
85;F;F;3;5;FR;Elephant;1;1;1;0;0;1
85;F;F;3;5;FR;Panda Bear;1;0;1;1;0;1
87;F;F;2;2;FR;Tiger;1;1;1;0;0;1
87;F;F;2;2;FR;Giraffe;1;1;0;1;0;0
87;F;F;2;2;FR;Koala;0;0;0;1;0;0
87;F;F;2;2;FR;Polar Bear;0;1;1;0;0;1
87;F;F;2;2;FR;Leopard;0;1;0;0;0;0
88;F;F;2;1;FR;Leopard;1;1;1;1;0;1
88;F;F;2;1;FR;Wolf;1;0;1;1;0;0
88;F;F;2;1;FR;Great White Shark;1;1;1;0;1;1
88;F;F;2;1;FR;Polar Bear;1;1;1;1;0;1
89;F;F;2;3;FR;Tiger;1;1;1;0;0;1
89;F;F;2;3;FR;Elephant;0;1;1;0;0;1
89;F;F;2;3;FR;Lion;0;0;1;0;0;1
89;F;F;2;3;FR;Leopard;0;0;1;0;0;1
89;F;F;2;3;FR;Zebra;1;0;0;0;0;0
89;F;F;2;3;FR;Wolf;0;0;1;0;0;1
89;F;F;2;3;FR;Panda Bear;0;0;1;1;0;0
90;F;F;2;2;FR;Tiger;1;1;1;0;1;1
90;F;F;2;2;FR;Cheetah;1;0;1;0;0;0
91;F;F;2;2;FR;Wolf;1;1;0;0;0;0
91;F;F;2;2;FR;Zebra;1;0;0;0;0;0
91;F;F;2;2;FR;Giraffe;0;1;0;0;0;0
92;F;F;3;1;FR;Leopard;1;1;1;0;1;1
92;F;F;3;1;FR;Dolphin;1;0;0;1;0;0
92;F;F;3;1;FR;Elephant;0;1;0;0;1;0
93;F;F;2;1;FR;Tiger;1;1;0;0;1;0
93;F;F;2;1;FR;Giraffe;0;0;0;1;0;0
93;F;F;2;1;FR;Leopard;1;0;0;0;1;0
93;F;F;2;1;FR;Lion;1;1;0;0;0;0
94;F;F;2;3;FR;Tiger;1;1;1;0;1;1
94;F;F;2;3;FR;Elephant;1;1;0;0;0;0
94;F;F;2;3;FR;Wolf;0;0;1;1;1;1
95;F;F;3;2;FR;Tiger;1;0;1;0;0;0
95;F;F;3;2;FR;Koala;1;0;0;0;0;1
95;F;F;3;2;FR;Panda Bear;1;0;0;0;0;1
95;F;F;3;2;FR;Wolf;0;0;1;1;0;0
95;F;F;3;2;FR;Dolphin;1;0;1;0;0;0
96;F;M;3;4;FR;Lion;1;1;0;0;1;0
96;F;M;3;4;FR;Elephant;1;1;1;0;0;1
96;F;M;3;4;FR;Tiger;1;1;1;0;1;1
96;F;M;3;4;FR;Cheetah;1;0;1;1;0;1
97;F;F;2;2;FR;Lion;1;1;0;0;1;0
97;F;F;2;2;FR;Elephant;1;1;1;0;0;1
97;F;F;2;2;FR;Cheetah;1;1;1;0;1;0
97;F;F;2;2;FR;Dolphin;1;0;1;0;0;0
97;F;F;2;2;FR;Wolf;1;1;1;0;1;0
98;F;F;2;1;FR;Tiger;1;1;0;0;1;0
98;F;F;2;1;FR;Lion;1;1;0;0;1;0
98;F;F;2;1;FR;Brown Bear;1;1;1;0;1;0
98;F;F;2;1;FR;Dolphin;0;0;0;1;0;0
98;F;F;2;1;FR;Elephant;0;1;1;0;0;0
98;F;F;2;1;FR;Leopard;1;0;0;0;1;0
99;F;F;2;4;IN;Lion;1;1;0;0;0;1
99;F;F;2;4;IN;Dolphin;1;0;0;1;0;0
99;F;F;2;4;IN;Tiger;1;1;1;0;0;1
99;F;F;2;4;IN;Wolf;1;1;0;0;0;1
99;F;F;2;4;IN;Panda Bear;0;0;1;1;0;0
99;F;F;2;4;IN;Leopard;1;1;0;0;0;1
99;F;F;2;4;IN;Giraffe;0;1;0;0;0;0
99;F;F;2;4;IN;Elephant;0;1;0;0;0;0
102;F;F;2;3;FR;Lion;0;1;0;0;0;0
103;F;F;3;3;FR;Elephant;1;1;1;0;1;0
103;F;F;3;3;FR;Lion;0;1;0;0;1;0
103;F;F;3;3;FR;Dolphin;0;1;0;0;0;0
103;F;F;3;3;FR;Cheetah;1;1;0;0;1;0
103;F;F;3;3;FR;Chimpanzee;0;1;0;1;0;0
103;F;F;3;3;FR;Panda Bear;0;0;1;0;0;0
104;F;F;2;2;FR;Lion;1;1;0;0;1;0
104;F;F;2;2;FR;Koala;0;0;1;1;0;1
104;F;F;2;2;FR;Tiger;1;1;0;0;1;0
104;F;F;2;2;FR;Elephant;0;1;1;1;0;0
104;F;F;2;2;FR;Zebra;1;0;0;1;0;0
104;F;F;2;2;FR;Panda Bear;1;1;1;0;0;1
106;F;F;3;4;FR;Wolf;1;0;0;0;0;0
106;F;F;3;4;FR;Tiger;1;1;1;0;1;0
106;F;F;3;4;FR;Dolphin;1;0;0;0;0;0
107;F;M;2;2;FR;Leopard;1;1;0;0;1;0
107;F;M;2;2;FR;Tiger;1;1;1;0;1;1
107;F;M;2;2;FR;Wolf;1;0;0;0;1;0
108;F;F;2;2;FR;Dolphin;1;0;0;1;0;0
108;F;F;2;2;FR;Tiger;1;1;0;0;1;0
108;F;F;2;2;FR;Panda Bear;0;0;0;0;0;0
109;F;F;2;1;FR;Wolf;1;0;1;0;0;0
109;F;F;2;1;FR;Elephant;1;1;1;0;0;0
110;F;F;3;3;FR;Cheetah;1;1;1;0;0;0
110;F;F;3;3;FR;Dolphin;1;0;1;0;0;0
110;F;F;3;3;FR;Wolf;0;0;1;0;1;0
110;F;F;3;3;FR;Lion;0;1;1;0;1;0
110;F;F;3;3;FR;Panda Bear;0;0;1;1;0;0
110;F;F;3;3;FR;Brown Bear;0;0;1;0;0;1
111;F;F;2;2;GB;Wolf;0;0;0;0;0;0
111;F;F;2;2;GB;Panda Bear;0;0;0;0;0;0
111;F;F;2;2;GB;Lion;0;0;0;0;0;0
111;F;F;2;2;GB;Tiger;0;0;0;0;0;0
111;F;F;2;2;GB;Panda Bear;0;0;0;0;0;0
111;F;F;2;2;GB;Leopard;0;0;0;0;0;0
111;F;F;2;2;GB;Giraffe;0;0;0;0;0;0
112;F;F;2;2;FR;Elephant;1;1;1;0;0;1
112;F;F;2;2;FR;Tiger;1;1;1;0;1;1
112;F;F;2;2;FR;Giraffe;1;1;1;1;0;1
112;F;F;2;2;FR;Lion;1;1;1;0;1;0
112;F;F;2;2;FR;Gorilla;0;1;0;0;0;0
112;F;F;2;2;FR;Dolphin;1;0;1;1;0;1
113;F;F;2;2;FR;Panda Bear;1;1;1;0;0;0
113;F;F;2;2;FR;Leopard;1;1;1;0;1;1
113;F;F;2;2;FR;Dolphin;1;0;0;1;0;0
113;F;F;2;2;FR;Leopard;1;1;1;0;1;0
114;F;F;3;3;FR;Tiger;1;0;0;0;0;0
114;F;F;3;3;FR;Leopard;1;0;0;0;0;0
114;F;F;3;3;FR;Wolf;0;1;0;0;0;0
114;F;F;3;3;FR;Gorilla;0;0;1;0;0;0
114;F;F;3;3;FR;Dolphin;1;0;0;0;0;0
